indicator,Units,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Real gross domestic product,% YoY,0.5,4.4,1.4,3.1,1.1,5.8,3.2,4.0,6.1,5.1,-0.1,7.5,4.0,1.9,3.0,0.5,-3.5,-3.3,1.1,
Gross domestic product,% YoY,8.5,10.2,9.7,13.2,15.4,14.0,10.9,11.0,12.9,14.3,7.2,16.6,12.6,10.0,10.7,8.4,3.8,4.5,4.6,
Consumer price index,% YoY,4.8,6.2,7.5,10.2,17.0,6.3,5.8,3.3,4.1,6.6,5.0,5.1,6.6,5.4,6.4,6.0,9.3,9.3,3.0,
Unemployment,%,,,,,,,,,,,,,,,7.2,6.8,8.3,11.3,12.8,
Retail trade,% YoY,,,-1.2,-0.6,-3.9,8.8,5.0,6.4,9.6,9.0,5.9,10.9,6.6,8.4,4.5,2.3,-4.2,-6.7,2.5,
Industrial production,% YoY,,,,,-2.6,7.6,6.9,3.9,4.8,1.7,-2.7,7.2,-0.2,-1.0,2.8,-2.1,-9.4,-5.7,3.5,
Government balance,..,,,,,,,,,,,,,,,,,,,,
Government debt,..,,,,,,,,,,,,,,,,,,,,
Current account balance,% of GDP,,,,,,,,,,,,-4.2,-3.5,-3.6,-3.6,-4.7,-3.2,-1.6,-0.8,
Net intl. investment position,..,,,,,,,,,,,,,,,,,,,,
Long term yield,..,,,,,,,,,,,,,,,,,,,,
House price,% YoY,,,,-5.8,-3.8,6.3,1.9,7.0,13.2,15.8,19.4,19.0,11.6,6.1,2.8,0.6,-7.8,-10.5,-5.0,
Oil production,Thou. Volume,,,,1458,1500,1481,1636,1725,1752,1808,1957,2061,2113,2068,2029,2259,2442,2515,2630,
Population,% YoY,,,,,,,,,,,,,,,,0.9,0.8,0.8,0.8,
